Time,Temperature
20220307_05-48-32,73.4
20220307_05-48-44,73.4
20220307_05-48-56,73.4
20220307_05-49-09,73.4
20220307_05-49-21,73.4
20220307_05-49-33,73.4
20220307_05-49-45,73.4
20220307_05-49-58,73.4
20220307_05-50-10,73.4
20220307_05-50-22,73.4
20220307_05-50-37,73.4
20220307_05-50-49,73.4
20220307_05-51-01,73.4
20220307_05-51-14,73.4
20220307_05-51-26,73.4
20220307_05-51-38,73.4
20220307_05-51-50,73.4
20220307_05-52-03,73.4
20220307_05-52-15,73.4
20220307_05-52-27,73.4
20220307_05-52-39,73.4
20220307_05-52-54,59.0
20220307_05-53-06,73.4
20220307_05-53-18,73.4
20220307_05-53-31,73.4
20220307_05-53-43,73.4
20220307_05-53-55,73.4
20220307_05-54-10,73.4
20220307_05-54-22,73.4
20220307_05-54-34,73.4
20220307_05-54-47,73.4
20220307_05-54-59,73.4
20220307_05-55-11,73.4
20220307_05-55-23,73.4
20220307_05-55-36,73.4
20220307_05-55-48,73.4
20220307_05-56-00,73.4
20220307_05-56-12,73.4
20220307_05-56-25,73.4
20220307_05-56-37,73.4
20220307_05-56-49,73.4
20220307_05-57-02,73.4
20220307_05-57-14,73.4
20220307_05-57-26,73.4
20220307_05-57-38,73.4
20220307_05-57-51,73.4
20220307_05-58-03,73.4
20220307_05-58-17,73.4
20220307_05-58-30,73.4
20220307_05-58-42,73.4
20220307_05-58-54,73.4
20220307_05-59-06,73.4
